线路编号, 上行途径站点, 下行途径站点
322,平湖华南城总站、华润配送中心、华南城北门、华南城交易中心、上木古村、新木盛低碳产业园、华美嘉配送中心、友信食品城、金积嘉科技园、左右家私、宝福珠宝园、李朗国际珠宝园、第三人民医院、联创科技园、布吉交警中队、尚峰花园、布澜路口、桂芳园、大芬地铁站②、龙珠花园③、荣超花园③、草埔地铁站①、洪湖公园①、笋岗街道办、梅园路①、市检察院①、建设集团、红岭地铁站、少儿图书馆、圣廷苑酒店、华新村、花卉世界②、莲花二村①、关山月美术馆①、莲花山公园②、莲花山西①、华强职校、新洲花园、众孚小学、新洲村、沙尾、上沙村①、福田交通枢纽公交场站,福田交通枢纽公交场站、上沙、上沙村、沙尾、新洲村、众孚小学、新洲花园、华强职校、莲花山西①、莲花山公园、关山月美术馆①、莲花二村①、花卉世界②、华新村、圣廷苑酒店、少儿图书馆、建设集团、市检察院①、梅园路①、笋岗街道办、笋岗村牌坊、田心村、红岗花园、泥岗桥、独树村②、草埔地铁站③、荣超花园③、深圳东站①、龙珠花园、大芬地铁站①、布澜路口、尚峰花园、布吉交警中队、联创科技园、第三人民医院、李朗国际珠宝园、粤信创意园、左右家私、金积嘉科技园、友信食品城、华美嘉配送中心、新木盛低碳产业园、上木古村、华南城交易中心、华南城北门、华润配送中心、龙湖学校、平湖华南城总站
323,南湾康乐总站、尚峰花园、布澜路口、木棉湾地铁站①、荣超花园①、草埔地铁站⑨、洪湖公园①、笋岗街道办、笋岗艺展中心、友谊医院、八卦岭社康中心、平安大厦①、八卦五街、体育馆②、市二医院②、笔架山公园、莲花一村、公交大厦、彩田村②、莲花北村②、北大医院①、景新花园①、科技中学、景田沃尔玛、特发小区、枫丹雅苑、金地网球中心、翠海花园②、经济犯罪侦查局、鸿新花园①、警校、园博园西、锦绣中华、世界之窗②、白石洲②、大冲①、科技园①、南头①、深南北环立交①、宝安交通运输局、裕安路口①、上川路口①、西乡路口①、宝安中心医院①、西乡立交①、宝安文具批发市场、大益广场、西乡盐田大门、圣淘沙、富通城二期、富通城三期、沿江大铲湾口、西乡大铲湾码头,西乡大铲湾码头、富通城三期、富通城二期、西乡盐田大门、大益广场、宝安文具批发市场、西乡立交①、宝安中心医院①、西乡路口①、上川路口①、裕安路口①、宝安交通运输局①、深南北环立交①、南头①、科技园①、大冲①、白石洲②、世界之窗②、锦绣中华①、园博园西、警校、园博园北门、鸿新花园、经济犯罪侦查局、翠海花园、金地网球中心、枫丹雅苑、特发小区、科技中学、景新花园①、北大医院①、莲花北村②、彩田村②、公交大厦、莲花一村、笔架山公园、市二医院②、体育馆②、体育馆东、平安大厦、八卦岭社康中心、友谊医院、笋岗艺展中心、笋岗街道办、田心村、红岗花园、泥岗桥、独树村②、草埔地铁站②、荣超花园①、深圳东站①、木棉湾地铁站①、布澜路口、尚峰花园、南湾康乐总站
324,石岩外环路公交场站、新百丽、鹏城变电站、嘉义源科技园、大浪新围新村、新围社区公园、大船坑、水围新村、大浪街道办、万盛百货、英泰工业区、墩背社区、河背工业区、老围工业区、三联村委、新城市花园、龙华天虹商场、龙华市场、景华新村、大润发、龙华文化广场、共和新村、瓦窑排、龙华富士康、油富商城、香缇雅苑、松和小学、万众城、牛栏前、沙吓、东边①、沙元埔、横岭二区、横岭、惠鑫公寓①、民乐地铁站③、翰岭院、档案中心、万科大厦、福田二医院、上梅林市场、梅林三村东、梅林三村、梅林二村、梅林一村①、下梅林市场①、景鹏大厦、商报社、华强职校、特区报社②、香蜜湖②、深南香蜜立交①、招商银行大厦②、深圳人才园、华侨城地铁站、世界之窗②、白石洲②、大冲①、科技园①、深大北门①、南山公安分局、中山公园东门、南山农批市场、中山园场站,中山园场站、南山农批市场、中山公园东门、南山公安分局、深大北门①、科技园①、大冲①、白石洲②、世界之窗②、华侨城地铁站、深圳人才园②、招商银行大厦②、深南香蜜立交①、特区报社②、华强职校、商报社、景鹏大厦、下梅林市场、梅林一村、梅林二村、梅林三村、梅林三村东、上梅林村、上梅林市场、福田二医院、万科大厦、档案中心、民乐地铁站①、惠鑫公寓①、横岭、横岭二区、沙元埔、东边、沙吓、牛栏前、万众城、松和小学、香缇雅苑、天汇大厦、油富商城、龙华富士康、瓦窑排、共和新村、龙华文化广场、大润发、景华新村、龙华市场、龙华天虹商场、新城市花园、三联村委、老围工业区、河背工业区、墩背社区、英泰工业区、万盛百货、大浪街道办、水围新村、大船坑、新围社区公园、大浪新围新村、嘉义源科技园、鹏城变电站、新百丽、石岩外环路公交场站
325,光明圳美总站、中山七院换乘站①、圳辉路口、中山七院、光晟厂、第二职业技术学校、新健兴科技工业园、迳口村路口、碧眼社康、光明供电所、光明中心站、光明社保分局、光明油站、圣亚达、技工学校光明校区、楼村一工业区、楼村路口、光明红木小镇、宏发上域、上辇村口、上辇、下辇、公明派出所、公明天虹①、国科大医院西院区①、将石、东坑、公明塘尾、万丰工业区、光明大道路口、田寮路口、田寮、玉塘派出所、玉律、石岩湖路口、北大方正、石岩消防中队、石岩径贝村、石岩汽车站①、河滨花园、石岩计生中心、山城工业区、台湾工业区、一电科技①、创维天桥、应人石路口、阳光工业区、南岗工业区、白芒村、荔枝世界、报恩福地、官龙村、深职院、九祥岭②、西丽法庭①、西丽社区①、茶光①、松坪山、北环铜鼓天桥、清华信息港、科苑立交南、科苑北、深南科苑立交北、高科技中心、深港产学研基地、科苑南路口、科技南路、科技生态园公交总站,科技生态园公交总站、阳光带海滨城北、科苑地铁站、深港产学研基地、高科技中心、深南科苑立交北、科苑北、清华信息港、北环铜鼓天桥、松坪山、茶光①、西丽社区①、西丽法庭①、九祥岭②、深职院、官龙村、报恩福地、荔枝世界、白芒村、南岗工业区、阳光工业区、应人石路口、创维天桥、一电科技①、台湾工业区、山城工业区、石岩计生中心、河滨花园、石岩汽车站①、石岩径贝村、石岩消防中队、北大方正、石岩湖路口、玉律、玉塘派出所、田寮①、田寮路口、光明大道路口、万丰工业区、公明塘尾、东坑、将石、国科大医院西院区②、光明高级中学、环球公司、公明办事处、公明天虹①、公明派出所、下辇、上辇、宏发上域、光明红木小镇、楼村路口、楼村一工业区、技工学校光明校区、圣亚达、光明油站、光明社保分局、光明中心站、光明供电所、碧眼社康、迳口村路口、新健兴科技工业园、第二职业技术学校、光晟厂、中山七院、圳辉路口、同富裕工业园、中山七院换乘站①、光明圳美总站
326,观澜樟坑径总站、樟坑径上围、市边检站基地、侨安科技园、乐康家居、金荣达工业园、岗头市场南、冲之社康中心、华为基地、华为单身公寓北、万科城、中海日辉台、坂田路口（西）、坂田市场、五和路口、四季花城①、光雅园路口、坂田石化新村、南坑村、星光之约②、星河WORLD、万家灯火、滢水山庄①、民乐地铁站⑤、第二高级技工学校、凯丰花园、上梅林市场、上梅林村、梅林街道办、景鹏大厦、景新花园①、科技中学、龙塘、深南香蜜立交①、深航大厦②、农林地铁站、市眼科医院、鸿新花园①、警校、园博园西、华侨城地铁站、白石洲②、科技园①、深圳大学、海雅百货、南油大厦、蛇口沃尔玛、蛇口人民医院、招商发展中心、蛇口网谷、海上世界地铁站、蛇口港地铁站、蛇口邮轮中心总站,蛇口邮轮中心总站、蛇口港地铁站、海上世界地铁站、蛇口网谷、招商发展中心、蛇口人民医院、蛇口沃尔玛①、南油大厦、新能源大厦、海雅百货、深圳大学、科技园①、白石洲②、华侨城地铁站、园博园西、警校、鸿新花园、市眼科医院、农林地铁站、深航大厦②、深南香蜜立交①、龙塘、科技中学、景新花园①、景鹏大厦、梅林二村南、梅林街道办、上梅林村、上梅林市场、凯丰花园、福田党校、民乐地铁站③、滢水山庄①、万家灯火、星河WORLD、星光之约②、南坑村、坂田石化新村、光雅园路口、四季花城、五和路口、坂田市场、黄金山公园、中海日辉台、万科城②、华为单身公寓北、华为基地、冲之社康中心、岗头市场南、金荣达工业园、乐康家居、侨安科技园、市边检站基地、观澜樟坑径总站
328,观澜樟坑径总站、樟坑径上围、市边检站基地、侨安科技园、乐康家居、金荣达工业园、岗头市场南、冲之社康中心、华为基地、华为单身公寓北、万科城、中海日辉台、坂田路口（西）、坂田市场、五和路口、四季花城①、光雅园路口、坂田石化新村、南坑村、星光之约②、星河WORLD、万家灯火、滢水山庄①、民乐地铁站⑤、第二高级技工学校、凯丰花园、上梅林市场、上梅林村、梅林街道办、景鹏大厦、景新花园①、科技中学、龙塘、深南香蜜立交①、深航大厦②、农林地铁站、市眼科医院、鸿新花园①、警校、园博园西、华侨城地铁站、白石洲②、科技园①、深圳大学、海雅百货、南油大厦、蛇口沃尔玛、蛇口人民医院、招商发展中心、蛇口网谷、海上世界地铁站、蛇口港地铁站、蛇口邮轮中心总站,蛇口邮轮中心总站、蛇口港地铁站、海上世界地铁站、蛇口网谷、招商发展中心、蛇口人民医院、蛇口沃尔玛①、南海东滨路口、南油大厦、新能源大厦、海雅百货、深圳大学、科技园①、白石洲②、华侨城地铁站、园博园西、警校、鸿新花园、市眼科医院、农林地铁站、深航大厦②、深南香蜜立交①、龙塘、科技中学、景新花园①、景鹏大厦、梅林二村南、梅林街道办、上梅林村、上梅林市场、凯丰花园、福田党校、民乐地铁站③、滢水山庄①、星河WORLD、星光之约②、南坑村、坂田石化新村、光雅园路口、四季花城、五和路口、黄金山公园、中海日辉台、万科城②、华为单身公寓北、华为基地、冲之社康中心、岗头市场南、金荣达工业园、乐康家居、侨安科技园、市边检站基地、观澜樟坑径总站
331,松岗桥底、松岗街道办、松岗天虹商场、潭头路口、沙井中心客运站、上寮市场、沙井电子城、新桥南环路口①、凤凰客运站、稔田社区、福永医院凤凰分院、凤凰天桥、福永卫生监督所、福永汽车站、福永家私街、怀德翠岗、宝安交警大队、翠湖花园、黄田、钟屋、三围路口、劲力集团、固戍村、西成工业区、宝安农批市场、西乡立交①、宝安中心医院、西乡路口、上川路口、裕安路口、宝安交通运输局①、宝安万佳、深南北环立交②、南新深南天桥①、南山欢乐颂、桃园南新路口、市六医院东、南航公司、南山派出所 、中油大厦、南园村东、城市山林东、东滨路中、荔秀文化街、南门一坊、兰园、四海、玫瑰园、花果山、招商大厦、水湾地铁站、海上世界地铁站、新时代广场、蛇口港地铁站公交总站、蛇口邮轮中心,蛇口邮轮中心、蛇口港地铁站公交总站、新时代广场、海上世界地铁站、水湾地铁站、招商大厦、花果山、玫瑰园、四海、兰园、南门一坊、荔秀文化街、东滨路中、城市山林东、南园村东、中油大厦、南山派出所 、南航公司、市六医院东、市六医院、桃园南新路口、南贸市场、南山欢乐颂、南新深南天桥①、深南北环立交②、宝安万佳、裕安路口、上川路口、西乡路口、宝安中心医院、西乡立交①、宝安农批市场、西成工业区、固戍村、劲力集团、三围路口、宝安桃源居西、钟屋、黄田、翠湖花园、宝安交警大队、怀德翠岗、福永家私街、福永汽车站、福永卫生监督所、凤凰天桥、福永医院凤凰分院、稔田社区、凤凰客运站、新桥南环路口①、上寮市场、上寮、沙井中心客运站①、潭头路口、松岗天虹商场、松岗街道办、松岗桥底
332,观澜新田总站、新田市场①、新田居委会、牛轭岭新村、观澜建材市场、福楼村、大布新村、观澜汽车站②、岗头村、吉盛酒店、观澜中心小学、龙华中心医院②、观澜二小、观澜交警中队、田背路口、竹村、宝湖新村、龙华汽车站、城市明珠、人民医院龙华分院、龙华天虹商场、金龙华广场、牛地埔、龙华敬老院、龙华村、大浪石观工业区、谭罗村、羊台山、水田社区、长城工业区①、宝燃油站、官田星城站、官田村、石岩街道办、河滨花园、浪心村委、石岩计生中心、山城工业区、台湾工业区、一电科技①、创维天桥、阳光工业区、南岗工业区、白芒村、荔枝世界、报恩福地、官龙村、深职院、九祥岭②、西丽法庭①、西丽社区①、茶光②、松坪学校小学部、宝深路、科陆大厦、豪威大厦、奥林巴斯、方鼎华庭、中山公园东门、南山设计产业园、南山公安分局、南新深南天桥①、南山欢乐颂、桃园南新路口、市六医院、市六医院东、南航公司、南山派出所、中油大厦、南园村东、城市山林东、东滨路中、荔秀文化街、蛇口沃尔玛、玫瑰园、花果山、公园南路、南海玫瑰园、潜龙湾、海上世界、新时代广场、蛇口港地铁站公交总站、蛇口邮轮中心,蛇口邮轮中心、蛇口港地铁站公交总站、新时代广场、海上世界地铁站、潜龙湾、南海玫瑰园、公园南路、花果山、玫瑰园、蛇口沃尔玛①、荔秀文化街，东滨路中，城市山林东，南园村东、中油大厦、南山派出所、南航公司、市六医院东、市六医院、桃园南新路口、南山欢乐颂、南新深南天桥①、南山公安分局、中山公园东门、方鼎华庭、朗山路西、豪威大厦、科陆大厦、宝深路、松坪学校小学部、茶光②、西丽社区①、西丽法庭①、九祥岭②、深职院、官龙村、报恩福地、荔枝世界、白芒村、南岗工业区、阳光工业区、创维天桥、一电科技①、台湾工业区、山城工业区、石岩计生中心、浪心村委、河滨花园、石岩街道办、官田村、官田星城站、宝燃油站、长城工业区①、水田社区、羊台山、大浪石观工业区、龙华村、龙华敬老院、牛地埔、金龙华广场、龙华天虹商场、人民医院龙华分院、城市明珠、龙华汽车站、宝湖新村、竹村、田背路口、观澜交警中队、观澜二小、龙华中心医院②、观澜中心小学、吉盛酒店①、岗头村、观澜汽车站、大布新村、福楼村、观澜建材市场、牛轭岭新村、新田居委会、新田市场①、观澜新田总站
333,坂田旭景佳园总站、巡警中队、珠江旭景佳园、富豪花园、扬马市场、金洲嘉丽园、坂田市场、里石排、利金城工业园、水斗新村、上油松村、牛栏前市场、万众城、牛栏前、水尾、东边②、民康路口、横岭二区、横岭、惠鑫公寓②、民乐地铁站④、福田党校、中级法院、莲花二村①、花卉世界②、市话大厦①、体育馆②、笋岗八卦路口①、市检察院①、笋岗艺展中心、梅园路①、笋岗街道办、田贝四路、翠北小学、田贝地铁站、康宁医院、翠竹万家、留医部②、竹园宾馆、水库新村、泰宁小学、东湖客运站,东湖客运站、水库新村②、竹园宾馆①、翠竹苑、翠竹万家、康宁医院、翠北小学、田贝四路、笋岗街道办、梅园路①、笋岗艺展中心、市检察院①、笋岗八卦路口①、体育馆②、市话大厦、花卉世界②、莲花二村①、中级法院、福田党校、民乐地铁站②、惠鑫公寓②、横岭、横岭二区、民康路口、东边、水尾、牛栏前、万众城、牛栏前市场、上油松村、水斗新村、利金城工业园、里石排、坂田市场、坂田路口（西）、金洲嘉丽园、富豪花园、珠江旭景佳园、巡警中队、万科五园幼儿园、虎山路口、坂田旭景佳园总站
334,坂田雪象村总站、雪象新村、坂田交警中队、岗头村委、岗头市场、岗头市场南、冲之社康中心、华为基地、华为单身公寓北、万科城、中海日辉台、坂田路口（西）、坂田市场、坂田天虹、利金城工业园、水斗新村、上油松村、牛栏前市场、万众城、牛栏前、沙吓、东边①、沙元埔、横岭二区、横岭、惠鑫公寓①、民乐地铁站③、凯丰花园、万科大厦、中康公园、梅林阁、梅林三村、梅林二村、梅林一村①、福田农批市场、广中医深圳医院、北环香梅北天桥、北环香蜜立交、北环香蜜立交西、侨香村、桃源村东、桃源村、鼎胜山邻、新屋村、龙辉花园②、茶光①、松坪学校小学部、松坪村、朗山路中、孙逸仙心血管医院、科苑北环立交②、科苑立交南、科苑北、科发路、深南科技立交北、创维大厦、中兴通讯①、深港产学研基地、白石科苑路口、高新公寓、科技园公交总站,科技园公交总站、高新公寓、科技南路、粤海门村、深港产学研基地、中兴通讯①、创维大厦、深南科技立交北、科发路、深南科苑立交北、科苑北、科苑北环立交、孙逸仙心血管医院、朗山路中、松坪村、松坪学校小学部、茶光①、龙辉花园②、新屋村、鼎胜山邻、桃源村、桃源村东、侨香村、北环香蜜立交、北环香梅北天桥、深圳石油大厦、广中医深圳医院、福田农批市场、梅林一村、梅林二村、梅林三村、梅林阁、中康公园、万科大厦、第二高级技工学校、福田党校、民乐地铁站①、惠鑫公寓①、横岭、横岭二区、沙元埔、东边、沙吓、牛栏前、万众城、牛栏前市场、上油松村、水斗新村、利金城工业园、坂田天虹、坂田市场、黄金山公园、中海日辉台、万科城②、华为单身公寓北、华为基地、冲之社康中心、岗头市场南、岗头市场、岗头村委、坂田交警中队、坂田雪象村总站
M156,和平里花园公交总站、国泰家私城、西头居委会、上塘农贸市场、大岭社区、锦绣江南、牛栏前学校、水尾、东边②、民康路口、横岭二区、横岭、惠鑫公寓②、民乐地铁站④、笔架山水厂、银湖汽车站②、泥岗村②、八卦岭社康中心、友谊医院、市检察院②、园岭地铁站、西湖宾馆、振业大厦、人民桥、门诊部①、金城大厦②、丽都酒店②、春风万佳①、文锦中学、文锦渡汽车站,文锦渡汽车站、文锦中学、春风万佳①、丽都酒店①、国贸、门诊部②、人民桥、振业大厦、深港豪苑、西湖宾馆、园岭地铁站、市检察院②、友谊医院、八卦岭社康中心、平安大厦②、银湖汽车站②、市救助站、笔架山水厂、民乐地铁站①、惠鑫公寓②、横岭、横岭二区、民康路口、东边、水尾、牛栏前学校、锦绣江南、金地上塘道、民塘上塘路口、上芬小学、简上路口北、和平里花园二期、龙胜地铁站、和平里花园公交总站
337,海上田园、民主新村、民主村委、安托山高科技园、蚝一村委、立才学校、西环沙二新村、蚝三丰泽园、沙四社区、西环码头、码头桥、中华制漆、沙井巡警中队、益华电子城南、新桥农贸市场、长丰酒店、沙井中心客运站、上寮市场、沙井电子城、新桥南环路口①、凤凰客运站、稔田社区、凤凰油站、福永医院凤凰分院、凤凰天桥、凤凰花苑、福永卫生监督所、福永汽车站、福永家私街、怀德商贸城、怀德翠岗、宝安交警大队、翠湖花园、黄田、钟屋、鹤洲立交、宝安桃源居西、三围路口、劲力集团、固戍村、西成工业区、宝安农批市场、西乡立交①、宝安中心医院、西乡路口、上川路口、裕安路口、宝安交通运输局②、深南北环立交②、南头②、南山文体中心、市六医院东、荔园大厦、后海立交、滨海之窗、深圳湾体育中心、红树林、上沙、福田体育公园、福田实验学校②、会展中心南、皇岗村北、联合广场、福滨新村②、岗边村②、滨河华强天桥、上步中学②、上步南天桥、滨江新村②、鹿丹村、宝安南路、人民桥、门诊部②、国贸、火车站337总站,火车站337总站、人民南地铁站、金威大厦、鹿丹村、滨江新村②、上步南天桥②、上步中学②、无委大厦、岗边村②、福滨新村②、联合广场、皇岗村北、会展中心南、福田实验学校②、福田体育公园、上沙、下沙②、红树林、深圳湾体育中心、滨海之窗、后海立交、荔园大厦、南航公司、市六医院东、南山文体中心、南头②、深南北环立交②、宝安交通运输局、裕安路口、上川路口、西乡路口、宝安中心医院、西乡立交①、宝安农批市场、西成工业区、固戍村、劲力集团、三围路口、宝安桃源居西、钟屋、黄田、翠湖花园、宝安交警大队、怀德翠岗、怀德商贸城、福永家私街、福永汽车站、福永卫生监督所、凤凰花苑、凤凰天桥、福永医院凤凰分院、凤凰油站、稔田社区、凤凰客运站、新桥南环路口②、沙井电子城、上寮市场、上寮、沙井中心客运站①、新桥派出所、长丰酒店、新桥农贸市场、大庙路口、中心路口、益华电子城南、沙井巡警中队、中华制漆、码头桥、沙四社区、蚝三丰泽园、西环沙二新村、民主西环路口、立才学校、蚝一村委、安托山高科技园、第七高级中学、民主村委、民主新村、海上田园
338,白石厦公交总站、立新湖公园、同泰时代中心、福永地铁站、新和天桥③、福永海鲜市场、永福苑、福围、航空物流园、兴围、后瑞地铁站②、机场邮件处理中心、华胜实验学校、西乡奋达科技、华丰工业区、固戍地铁站、联升购物广场、固戍红湾、华万工业园、银田工业区、西乡客运站、昆仑泌尿外科医院、西乡盐田、同仁妇科医院、西乡步行街①、河东、群贤花园、宝安体育馆东、金成名苑、西城上筑、甲岸路口、宝安实验学校②、南头②、深大北门①、科技园①、大冲①、白石洲②、世界之窗②、何香凝美术馆、侨城东地铁站、园博园①、竹子林②、招商银行大厦②、深南香蜜立交①、特区报社②、会展中心南、皇岗村北、联合广场、皇岗口岸,皇岗口岸、联合广场、皇岗村北、会展中心南、特区报社②、深南香蜜立交①、招商银行大厦②、竹子林②、园博园①、侨城东地铁站、何香凝美术馆②、世界之窗②、白石洲②、大冲①、科技园①、深大北门①、南头②、中南花园、甲岸路口、西城上筑、金成名苑、宝安体育馆东、群贤花园、河东、西乡步行街、同仁妇科医院、西乡盐田、昆仑泌尿外科医院、西乡客运站、银田工业区、华万工业园、固戍红湾、联升购物广场、固戍地铁站、华丰工业区、西乡安居家园、西乡奋达科技、华胜实验学校、空港油库、机场邮件处理中心、后瑞地铁站、后瑞村、兴围、航空物流园、福围、永福苑、怀德新村、福永海鲜市场、新和天桥③、福永地铁站、白石厦公交总站
339,坂田雪象村总站、雪象新村、宝岗派出所、象角塘西、万科城实验学校、万科城、中海日辉台、坂田路口（西）、坂田市场、坂田天虹、利金城工业园、水斗新村、上油松村、牛栏前市场、万众城、牛栏前、沙吓、东边①、沙元埔、横岭二区、横岭、惠鑫公寓①、民乐地铁站⑤、福田党校、中级法院、莲花二村①、花卉世界②、华富路③、上海宾馆西②、田面、福华新村、岗厦村、高训大厦、福民新村、福民公安小区、福田水围村、益田花园、益田村、妇幼保健院、新洲村、沙尾、上沙村①、红树林、滨海中①、阳光带海滨城北、科技南路、高新公寓、中兴通讯①、高科技中心、深南科苑立交北、科苑北、科苑北环立交、华瀚科技、华瀚科技总站,华瀚科技总站、华瀚科技、科苑北环立交②、科苑北、深南科苑立交北、深大地铁站、中兴通讯②、高新公寓、科技南路、阳光带海滨城北、滨海中、红树林、上沙、上沙村、沙尾、新洲村、妇幼保健院、益田村、益田花园、福田水围村、福民公安小区、福民新村、高训大厦、岗厦村、福华新村、福田中学、田面、上海宾馆西②、华富路③、花卉世界②、莲花二村①、中级法院、福田党校、民乐地铁站①、惠鑫公寓①、横岭、横岭二区、沙元埔、东边、沙吓、牛栏前、万众城、牛栏前市场、上油松村、水斗新村、利金城工业园、坂田天虹、坂田市场、黄金山公园、中海日辉台、万科城①、象角塘西、宝岗派出所、坂田雪象村总站
351,建设路总站、门诊部②、东门①、留医部②、竹园宾馆、水库新村、水库、东湖宾馆、东湾派出所、沙湾天桥、沙湾汽车站②、吉厦村、沙西桥、吉厦街、丹竹头小学、金银坑、深坑居民小组、六约地铁站、牛始埔居民小组、六约社区、塘坑地铁站、横岗街道办、力嘉工业区、横岗志健广场、横岗地铁站①、独竹、永湖地铁站、银海工业区、水晶之城、荷坳地铁站、荷坳社区、大运地铁站①、爱联社区、昌盛百货、建新社区东、龙城医院、东都花园、公园大地、新亚洲花园、紫薇花园、龙岗公安分局、世贸百货、建设大厦、龙岗文化中心、龙城广场、龙城广场地铁站②、南联天桥、南联地铁站、海航城、龙岗长途客运站、双龙地铁站①、龙岗中心医院、新生村大门、新生小学、新生派出所、福宁总站,福宁总站、新生派出所、新生小学、新生村大门、龙岗中心医院、双龙地铁站①、龙岗长途客运站、海航城、南联地铁站、南联天桥、龙城广场地铁站②、龙城广场、龙岗文化中心、建设大厦、世贸百货、龙岗公安分局、紫薇花园、新亚洲花园、公园大地、东都花园、龙城医院、建新社区东、昌盛百货、爱联社区、龙岗COCOPark东、大运地铁站、荷坳社区、荷坳地铁站、水晶之城、银海工业区、永湖地铁站、独竹、横岗地铁站①、横岗志健广场、力嘉工业区、横岗街道办、塘坑地铁站、六约社区、牛始埔居民小组、六约地铁站、深坑居民小组、金银坑、丹竹头小学、沙西桥、吉厦村、沙湾汽车站、沙湾天桥、东湾派出所、东湖宾馆、水库新村①、竹园宾馆①、留医部②、东门①、金城大厦①、金光华广场、罗湖小学③、建设路总站
M152,茜坑新村总站、茜坑新村路口、福苑工业区、福民派出所、观澜交警中队、田背路口、竹村、宝湖新村、龙华汽车站、人民医院龙华分院、龙华天虹商场、龙华市场、龙华街道办、华富市场、电信大厦、风和日丽北、油松工业区、万众城、牛栏前、水尾、东边②、民康路口、横岭二区、横岭、惠鑫公寓②、民乐地铁站④、笔架山水厂、市救助站、银湖汽车站②、泥岗村②、八卦路、上林苑、市检察院①、建设集团、荔枝公园①、骨科医院、蔡屋围新七坊、都市名苑、金威大厦、罗湖小学②、火车站,火车站、罗湖小学②、金威大厦、都市名苑、蔡屋围新七坊、骨科医院、大剧院、荔枝公园①、建设集团、旭飞花园、八卦路、八卦岭社康中心、平安大厦②、银湖汽车站①、市救助站、笔架山水厂、梅龙天桥、民乐地铁站①、惠鑫公寓②、横岭、横岭二区、民康路口、东边、水尾、牛栏前、万众城、油松工业区、风和日丽北、龙泉酒店、电信大厦、华富市场、龙华街道办、龙华市场、金龙华广场、龙华天虹商场、人民医院龙华分院、龙华汽车站、宝湖新村、竹村、田背路口、观澜交警中队、福民派出所、福苑工业区、茜坑新村总站
357,嶂背工业区总站、拓野机器人公司、振业峦山谷、金地名峰、嶂背二村西、园湖路口、吉溪村、简龙路口、东海工业区、龙村路口、龙兴路口、东满莱商业城、三角龙、大康路口、横岗商业街、横岗大厦、横岗志健广场、横岗街道办、塘坑地铁站、六约社区、牛始埔居民小组、六约地铁站、深坑居民小组、金银坑、丹竹头地铁站、桂芳园、大芬地铁站①、龙珠花园②、深圳东站①、荣超花园④、草埔地铁站④、洪湖公园①、洪湖二街东、儿童公园②、笋岗桥、桂园中学、罗湖税务局①、笋岗八卦路口①、体育馆②、市二医院②、笔架山公园、莲花二村东、莲花二村①、武警支队、福华新村、皇岗口岸,皇岗口岸、联合广场、岗厦村、彩福大厦、武警支队、莲花二村②、莲花二村东、笔架山公园、市二医院②、体育馆②、笋岗八卦路口①、罗湖税务局①、桂园中学、笋岗桥、儿童公园②、田贝②、洪湖公园①、独树村②、草埔地铁站④、荣超花园④、深圳东站①、龙珠花园、大芬地铁站①、桂芳园、丹竹头地铁站、金银坑、深坑居民小组、六约地铁站、牛始埔居民小组、六约社区、塘坑地铁站、横岗街道办、横岗志健广场、横岗大厦、横岗商业街、大康路口、三角龙、东满莱商业城、龙兴路口、龙村路口、东海工业区、简龙路口、吉溪村、园湖路口、嶂背二村西、金地名峰、振业峦山谷、拓野机器人公司、嶂背工业区总站
358,福宁总站、龙园公园、华升学校、盛龙路口、天成学校、盛平街、龙岗交通运输局、天健花园、城市花园、欧景城、紫薇花园、龙岗公安分局、万科广场、紫薇步行街、鸿基花园、岗贝社区、爱联小学、爱联地铁站、爱联社区、龙岗COCOPark东、大运地铁站、荷坳社区、荷坳地铁站、水晶之城、银海工业区、永湖地铁站、独竹、横岗大厦、横岗商业街、上围新村、横岗中心学校、安良路口、安良市场、安良六村、西坑路口、永安北山路口、乐群小学、盐田医院盐田院区、东海丽景花园、庚子首义学校、盐田派出所、北山路口、西山吓、盐田保税物流园、海港大厦、沙头角保税区、盐田汽车站、盐田区政府、盐田产业服务中心、三家店、金融路口、太平洋住宅区、海山街道办、盐田中央公园、盐田税务局、盐田精茂城、沙头角公交总站,沙头角公交总站、盐田精茂城、盐田中央公园、海山街道办、太平洋住宅区、沙深路口、三家店、盐田产业服务中心、沙头角沃尔玛、盐田区政府、盐田汽车站、沙头角保税区、海港大厦、盐田保税物流园、西山吓、盐田海鲜街路口②、北山路口、盐田派出所、庚子首义学校、东海丽景花园、盐田医院盐田院区、乐群小学、永安北山路口、西坑路口、安良六村、安良市场、安良路口、横岗中心学校、上围新村、横岗商业街、横岗大厦、横岗地铁站②、独竹、永湖地铁站、银海工业区、水晶之城、荷坳地铁站、荷坳社区、大运地铁站①、爱联社区、爱联地铁站、爱联小学、岗贝社区、鸿基花园、紫薇步行街、万科广场、龙岗公安分局、紫薇花园、欧景城、城市花园、天健花园、龙岗交通运输局、盛平街、天成学校、盛龙路口、龙园公园、福宁总站
